vehicle_type,energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years
EV,15.73,-2.64,52942.24,0.12,61.22,109506.81,5.23,338.81,13.33
ICE,6.86,146.79,97777.45,0.23,44.0,127232.2,8.21,253.71,8.42
ICE,7.27,175.92,96267.16,0.25,48.52,279226.04,7.88,213.71,8.23
EV,12.5,-3.39,36877.81,0.13,82.73,127644.97,7.13,229.55,9.2
EV,15.45,5.74,64558.22,0.15,68.94,145382.84,5.77,319.7,15.17
EV,13.57,5.05,43836.39,0.07,67.83,149673.99,6.45,196.43,11.23
ICE,5.84,101.61,88972.58,0.21,65.21,178776.28,9.08,114.11,10.4
ICE,6.1,126.48,78825.04,0.23,29.47,238568.05,10.73,194.07,8.88
EV,16.94,-0.19,53004.74,0.14,84.21,128826.8,6.09,383.86,13.69
ICE,7.86,80.65,64950.47,0.24,43.34,219611.98,9.9,135.59,13.21
EV,15.37,0.63,52439.53,0.1,73.12,137776.2,6.68,215.96,11.07
EV,19.54,0.31,62235.69,0.08,77.84,161733.84,4.46,368.22,13.26
EV,12.1,-12.77,45211.63,0.11,69.53,141755.93,5.57,258.89,11.25
ICE,6.78,110.43,70594.24,0.25,52.66,141037.59,9.4,247.4,7.94
ICE,7.74,122.74,58669.12,0.24,41.97,182985.12,7.51,286.6,9.77
EV,18.39,-4.87,65634.13,0.12,69.61,206962.05,5.71,256.12,10.25
EV,12.75,-2.74,64769.34,0.15,76.86,105194.71,7.87,332.91,11.86
ICE,5.86,132.13,80078.08,0.31,53.78,229149.12,10.6,97.19,9.96
ICE,5.96,185.27,74574.25,0.17,44.11,115741.64,8.4,223.18,12.42
ICE,3.91,111.14,95126.24,0.21,47.62,148375.04,10.5,154.96,10.91
ICE,7.5,210.47,87182.71,0.25,58.27,175779.0,9.47,162.47,16.14
ICE,9.25,119.45,85153.32,0.22,49.29,162548.39,11.9,172.62,10.56
EV,12.88,3.24,55054.7,0.09,41.61,166153.05,5.11,250.88,13.57
EV,15.14,2.11,50196.17,0.12,70.02,175315.19,5.45,290.77,13.17
ICE,7.99,144.23,59881.1,0.22,40.28,227837.68,8.41,97.3,7.28
EV,17.49,-1.19,43032.28,0.15,76.52,224922.45,6.24,337.49,14.24
ICE,4.86,151.46,113554.57,0.21,52.32,201425.61,10.7,206.23,12.14
EV,15.99,7.0,43248.22,0.06,61.37,137287.21,4.89,339.26,11.93
ICE,7.9,172.08,102642.86,0.24,34.87,100649.51,8.18,209.09,10.93
EV,12.14,5.67,52700.57,0.16,84.53,132232.77,6.83,356.64,14.99
EV,14.5,3.24,57215.63,0.08,75.14,199102.2,6.62,386.52,10.85
ICE,5.99,143.0,58686.59,0.23,59.28,201588.95,7.32,210.84,9.21
ICE,8.52,160.98,89859.82,0.26,40.78,216044.47,9.89,227.07,9.76
ICE,5.27,143.61,92891.21,0.26,65.28,148698.35,8.99,226.51,8.06
EV,16.57,-4.86,52640.2,0.16,58.02,120046.77,4.68,253.55,11.39
EV,16.95,-1.85,51935.9,0.11,67.63,137283.3,6.6,334.35,10.02
ICE,8.17,136.78,71851.98,0.35,58.19,198703.0,8.62,231.4,9.53
EV,12.5,-7.07,61925.08,0.18,74.94,125441.85,6.14,267.17,11.61
EV,12.24,8.04,58260.47,0.08,67.27,185519.62,5.72,297.1,12.39
EV,17.89,8.06,67388.51,0.09,76.59,156568.92,5.16,307.76,12.17
EV,14.1,4.98,66734.52,0.13,68.75,124453.8,6.52,261.39,14.7
EV,14.16,-14.48,40979.48,0.15,62.21,165050.55,6.23,293.63,10.64
EV,15.76,0.46,38322.2,0.08,68.58,86281.57,5.15,280.24,11.43
EV,16.66,-4.14,41999.61,0.16,65.4,185584.36,5.12,319.82,10.6
EV,17.96,-1.61,35561.45,0.06,86.79,152534.0,7.22,261.03,10.94
EV,17.61,6.88,50508.88,0.06,86.38,166092.42,5.95,319.78,10.53
ICE,3.72,149.42,69058.44,0.28,50.77,99391.12,6.8,154.5,10.61
ICE,7.29,114.87,78190.35,0.27,58.55,174001.35,11.96,123.35,10.11
EV,14.52,-2.32,54692.68,0.19,62.04,187654.37,5.48,275.01,9.76
ICE,10.02,169.83,78446.18,0.19,50.97,185790.62,9.5,108.67,9.72
EV,15.37,-3.1,56686.55,0.14,66.24,93796.76,8.56,277.14,10.98
ICE,8.06,125.51,68595.73,0.22,57.45,180006.42,9.35,180.0,13.79
EV,13.21,6.09,49284.01,0.07,58.46,142351.59,4.64,336.22,14.29
ICE,6.04,154.99,55447.97,0.25,51.67,186483.43,9.61,229.92,8.79
ICE,6.46,153.01,68825.32,0.26,49.8,217748.07,7.14,178.69,13.88
EV,16.84,4.17,65111.55,0.13,72.11,133842.79,5.64,263.15,9.89
ICE,8.74,106.07,95922.64,0.28,66.68,133260.36,10.23,205.46,12.22
ICE,9.22,164.56,78821.14,0.23,46.57,256076.53,8.27,204.42,12.05
EV,14.79,3.77,44199.47,0.15,58.43,131140.37,4.82,254.52,14.01
EV,13.12,0.2,54724.06,0.1,63.74,174817.08,7.58,307.84,11.11
ICE,10.0,148.75,93602.51,0.27,51.67,124026.28,10.44,256.03,10.54
ICE,8.41,154.8,67817.46,0.26,43.57,168353.45,13.12,160.14,12.98
ICE,7.64,131.43,72539.46,0.2,70.19,139564.74,8.03,212.41,11.7
EV,17.16,-7.29,46480.79,0.1,66.94,167734.08,5.58,302.98,12.45
EV,16.63,2.99,37608.93,0.13,78.91,129229.48,6.04,273.6,8.77
EV,15.96,2.18,49571.77,0.19,75.46,127384.14,7.47,262.23,15.87
EV,12.24,0.24,40435.64,0.09,71.11,221451.41,4.84,212.82,11.2
EV,11.74,9.42,54200.94,0.11,56.12,183558.97,5.66,350.8,11.35
ICE,7.4,227.42,64378.21,0.35,74.41,198783.86,8.61,179.73,8.29
EV,15.67,4.52,50580.23,0.08,48.28,161479.61,5.38,294.9,12.27
ICE,7.1,186.24,88304.41,0.28,54.31,226915.77,8.87,163.82,12.48
ICE,7.21,118.56,60021.3,0.28,46.59,163347.39,7.52,228.14,10.34
ICE,8.9,49.44,77184.48,0.25,42.33,186671.75,8.98,158.77,10.74
EV,16.25,-6.05,56955.38,0.09,86.99,164267.65,7.39,231.22,12.11
EV,11.55,8.68,58294.75,0.1,69.21,152298.27,6.48,284.55,11.25
EV,13.16,1.17,40755.34,0.1,58.14,146411.41,5.25,337.23,10.79
ICE,7.9,57.79,78092.62,0.25,62.21,165542.63,8.27,158.11,11.35
ICE,7.75,161.52,67484.93,0.22,53.6,191845.34,9.03,216.98,9.58
EV,15.05,5.81,55581.4,0.13,74.15,106029.78,4.51,329.97,13.77
ICE,5.97,140.01,81411.05,0.26,45.27,168707.52,11.53,150.3,13.64
EV,15.39,2.61,44710.22,0.12,68.77,151046.64,6.5,260.99,12.51
EV,16.03,-0.98,64524.68,0.12,66.13,128592.46,5.96,343.26,10.96
ICE,9.3,111.05,96679.3,0.23,55.17,164270.54,11.5,251.03,12.38
EV,13.56,-6.83,56934.79,0.14,60.6,90033.33,4.83,254.98,13.17
ICE,6.21,149.6,76440.32,0.29,40.11,173326.41,8.15,192.31,5.96
ICE,7.18,164.69,94124.29,0.25,43.42,166350.75,10.23,250.25,10.47
ICE,5.29,148.22,86339.43,0.25,32.29,112717.31,10.07,259.13,10.79
ICE,7.92,151.93,89149.27,0.17,52.59,143910.47,8.53,244.74,9.34
EV,15.14,2.54,36735.28,0.1,47.82,114626.75,5.77,287.61,10.98
ICE,6.45,146.79,61231.58,0.23,50.55,207344.73,11.62,248.36,12.26
EV,15.98,-5.14,39026.97,0.14,75.31,133644.41,6.44,373.26,10.52
EV,14.55,-2.87,52773.77,0.11,55.76,127946.5,6.4,218.73,10.87
ICE,5.63,123.85,77110.9,0.35,36.87,231259.82,9.05,166.46,12.63
EV,17.22,-0.07,53829.89,0.15,76.36,139476.65,5.9,286.59,11.47
ICE,6.58,126.19,76855.4,0.28,66.78,153395.71,7.72,164.7,8.77
ICE,8.62,181.95,100164.27,0.25,44.19,106979.52,10.39,214.08,11.4
ICE,6.28,148.54,70749.05,0.22,52.74,153429.29,11.15,232.86,9.58
ICE,9.57,106.31,94556.94,0.21,54.83,145193.47,12.15,167.5,11.1
ICE,4.53,173.19,78771.89,0.24,45.89,149496.74,8.77,151.3,12.83
ICE,7.65,171.11,82140.33,0.15,63.71,250531.95,12.97,201.52,8.98
EV,12.99,4.77,65628.89,0.15,75.88,116904.47,4.85,332.1,11.03
ICE,7.05,166.15,106437.1,0.26,43.11,186223.18,6.9,209.54,9.89
EV,15.14,0.96,56663.13,0.12,69.32,126723.76,4.79,295.87,10.27
EV,15.61,-1.45,64015.99,0.09,71.26,172764.73,4.87,247.06,12.75
ICE,8.24,163.73,78489.56,0.33,51.91,144635.63,9.98,230.05,7.7
EV,15.54,-5.71,54818.66,0.16,58.13,154066.9,7.55,387.24,12.01
EV,14.36,-1.51,50497.74,0.12,75.03,125954.17,5.56,213.11,9.29
EV,15.27,-5.36,48053.03,0.11,75.87,169323.71,6.43,237.17,9.82
ICE,4.69,119.6,66241.08,0.33,42.8,181728.16,9.64,206.39,14.03
EV,13.98,-5.05,27531.11,0.15,71.58,97716.84,7.33,266.96,11.6
ICE,8.04,100.57,93704.11,0.26,65.14,171881.27,8.16,230.87,9.87
ICE,6.88,155.64,74253.58,0.26,36.13,237319.53,10.32,220.15,7.74
EV,13.0,0.54,66259.59,0.13,62.41,193332.37,4.23,296.11,9.3
EV,18.01,-2.52,37674.77,0.14,86.65,171497.68,5.79,275.8,10.63
ICE,8.11,96.35,82022.02,0.3,31.31,146633.64,5.02,166.48,8.36
ICE,5.7,143.62,68440.73,0.29,34.95,194996.31,8.85,147.67,9.74
EV,15.68,-1.13,41317.07,0.06,69.21,148092.79,5.72,342.76,13.89
EV,13.91,-10.86,54998.64,0.13,74.1,175702.12,7.43,287.63,9.66
ICE,7.53,155.21,74449.45,0.22,59.09,260117.88,7.84,241.15,6.85
ICE,10.39,142.97,78112.71,0.33,44.12,181087.09,8.97,207.26,9.1
EV,11.77,2.07,48187.76,0.14,81.79,122136.24,7.88,455.88,12.9
ICE,9.04,119.32,79665.37,0.2,59.02,190610.28,9.11,220.79,10.89
EV,12.74,-0.12,46979.55,0.11,64.24,139745.35,6.27,259.72,12.21
ICE,5.26,157.08,71108.01,0.2,43.39,192366.31,9.64,169.84,12.44
EV,15.65,-7.39,32237.65,0.13,75.91,95788.76,4.02,240.41,10.87
ICE,5.53,116.95,90190.6,0.29,45.78,213917.15,9.43,230.46,10.68
ICE,8.75,140.44,76293.81,0.28,45.15,133618.58,9.11,173.22,8.85
ICE,5.39,224.04,86919.96,0.23,40.7,46819.85,9.41,222.02,10.86
ICE,7.48,109.21,103161.39,0.21,57.36,287921.62,10.66,241.3,9.63
EV,13.15,-13.52,67554.76,0.1,81.04,148642.37,6.89,301.09,13.76
EV,16.08,10.03,58132.05,0.18,86.77,111729.52,6.38,274.99,13.48
ICE,5.96,173.08,80250.51,0.28,46.46,163776.51,8.47,165.46,9.75
EV,13.2,2.3,31538.12,0.07,75.15,129017.56,4.06,364.14,12.79
ICE,8.3,196.63,69157.48,0.31,44.56,239018.17,9.78,163.97,9.51
ICE,8.81,131.62,88467.47,0.19,40.79,126575.73,7.73,143.88,12.21
EV,14.16,-1.36,59242.7,0.08,76.55,173253.45,7.4,289.32,14.33
ICE,7.6,187.37,64418.98,0.26,32.15,259409.06,7.67,177.41,10.13
ICE,5.14,101.98,96248.93,0.25,55.21,192628.78,10.62,98.28,13.99
ICE,8.69,101.12,77256.48,0.3,48.56,193878.41,10.94,187.84,13.35
EV,16.19,0.63,53338.6,0.15,68.09,201330.86,6.52,330.92,11.93
EV,13.85,2.22,47906.86,0.11,73.87,153742.56,5.34,331.07,10.87
ICE,9.64,142.62,99943.01,0.33,48.25,199091.84,6.58,161.66,8.04
EV,11.69,-2.02,60715.43,0.13,40.86,171210.97,5.61,279.11,9.66
ICE,5.84,99.84,84488.0,0.29,53.02,175754.72,8.23,255.06,6.7
EV,16.67,-0.14,42904.2,0.13,59.6,200675.67,6.28,330.49,11.36
ICE,6.15,175.62,89628.19,0.25,48.79,210658.24,9.32,167.86,9.6
ICE,5.66,175.95,112659.81,0.13,44.09,105429.21,8.71,233.07,6.1
ICE,4.74,113.4,96388.07,0.28,61.49,143014.24,8.12,216.26,12.01
ICE,9.54,110.47,68407.49,0.23,60.21,181906.92,11.36,216.42,10.69
EV,15.66,2.72,52625.61,0.08,79.62,145844.63,8.64,397.66,12.37
EV,13.34,7.39,36775.42,0.1,69.3,145747.27,7.42,275.05,13.19
ICE,11.3,172.06,102258.35,0.23,68.0,137169.82,8.63,202.45,12.33
ICE,7.12,139.01,64051.12,0.29,55.4,185022.34,6.7,199.85,10.93
ICE,10.49,98.55,79357.63,0.28,45.25,129249.96,10.1,209.64,6.32
ICE,4.92,190.77,82009.13,0.22,49.79,178484.53,11.07,235.24,11.96
EV,19.6,-1.12,49511.03,0.12,61.54,116555.33,5.13,275.29,12.53
ICE,6.83,69.73,60059.61,0.19,63.15,132233.65,6.0,202.22,11.71
ICE,7.18,180.46,87006.36,0.29,55.63,145359.73,9.88,141.18,10.06
ICE,8.59,83.52,74725.1,0.23,48.4,156465.54,8.61,200.83,9.21
ICE,6.69,95.2,99875.07,0.23,49.18,222325.44,7.74,185.91,12.51
EV,14.81,-8.01,43684.22,0.14,73.84,107855.49,7.67,330.36,13.16
EV,21.16,-4.44,36613.94,0.15,56.06,135530.59,5.76,395.93,16.43
ICE,9.44,142.15,79649.09,0.24,57.99,152638.16,8.58,155.32,8.65
ICE,8.08,136.99,75737.18,0.26,52.88,150601.92,8.2,223.72,9.19
EV,15.92,-3.76,37038.83,0.09,63.49,208267.37,4.87,268.11,11.4
EV,12.93,10.31,47210.37,0.14,61.95,146143.61,7.0,274.19,13.07
ICE,8.32,165.97,80607.84,0.26,63.82,203985.75,8.26,206.92,10.68
EV,11.57,-6.74,40781.4,0.14,60.99,157188.83,6.12,369.43,13.85
ICE,7.03,157.85,86784.12,0.19,56.74,201378.74,9.79,177.76,10.41
ICE,6.0,123.53,108128.38,0.27,48.51,192588.4,10.11,205.12,11.46
ICE,4.68,90.85,96707.94,0.13,59.08,161355.67,8.07,179.25,8.86
ICE,6.11,152.08,78778.16,0.25,50.38,248390.53,8.29,208.04,9.87
ICE,8.0,98.24,93888.56,0.18,59.17,156129.1,10.33,158.96,12.97
ICE,7.24,153.67,71276.29,0.24,58.22,173274.41,11.76,230.48,9.92
ICE,4.4,168.82,79874.59,0.26,45.7,156785.8,10.74,265.38,11.31
EV,16.97,-0.17,72187.8,0.09,83.51,113169.6,5.42,286.2,14.84
ICE,9.05,168.19,91751.98,0.19,50.92,96272.88,10.37,146.53,11.17
ICE,7.69,181.34,70556.09,0.32,57.16,191096.84,8.79,199.11,8.07
EV,13.36,0.8,56988.28,0.14,79.41,118384.94,5.07,270.02,12.17
EV,16.22,1.3,46962.74,0.1,71.95,141860.55,6.85,316.23,11.02
EV,16.86,-3.36,41807.42,0.09,72.06,116354.1,7.5,213.7,12.93
ICE,6.7,131.85,79427.98,0.18,44.15,190465.01,7.62,236.34,7.94
ICE,6.83,94.68,75031.41,0.25,61.76,208876.85,12.36,236.62,11.58
ICE,6.47,176.71,76359.07,0.33,56.4,106577.18,8.12,189.21,7.09
EV,12.04,-0.86,41775.8,0.14,79.32,174841.76,6.11,339.9,13.91
EV,12.78,6.09,53496.5,0.12,76.93,155388.67,6.03,289.27,12.41
EV,13.61,-0.49,55225.14,0.09,54.73,144926.32,6.68,279.05,14.05
EV,13.88,8.48,42534.22,0.11,60.25,145072.74,6.03,289.78,15.14
ICE,6.15,122.36,58837.97,0.19,53.33,194615.85,9.06,196.84,7.62
EV,16.52,6.24,52658.78,0.17,75.58,165128.64,4.36,328.19,12.48
EV,15.98,1.62,57318.71,0.16,63.01,151434.76,5.95,377.11,13.66
ICE,6.93,133.98,87653.78,0.23,61.29,145246.74,9.95,158.38,13.31
EV,16.12,0.41,45127.97,0.13,97.55,145857.53,6.68,309.67,9.59
EV,13.41,2.34,54329.6,0.13,75.84,99864.91,5.63,323.53,15.85
EV,16.94,-4.2,49565.23,0.13,79.46,147267.72,6.14,351.46,10.26
ICE,7.3,163.1,35796.44,0.31,41.97,153282.33,8.17,132.02,12.26
EV,15.12,-1.48,58545.25,0.13,91.55,125826.01,7.82,283.33,9.65
EV,11.62,2.42,52965.76,0.14,54.55,127785.3,4.43,353.65,9.34
EV,15.17,-7.78,56157.71,0.14,66.37,151238.62,4.72,340.04,11.83
ICE,9.52,130.61,86494.59,0.13,43.71,164660.88,7.0,202.07,8.81
EV,10.92,0.33,40041.85,0.13,78.52,182631.31,7.48,282.08,14.46
EV,15.46,-7.42,60971.53,0.17,70.27,200245.79,6.08,249.1,12.66
EV,14.46,3.1,43933.0,0.09,67.22,162283.16,5.5,221.35,11.13
ICE,5.62,157.75,72104.14,0.24,50.18,198927.86,15.72,204.29,12.68
EV,16.36,-3.98,32141.34,0.13,50.51,142254.75,7.57,284.01,13.8
EV,15.62,2.57,69541.57,0.15,80.07,136983.8,6.57,291.4,11.38
EV,10.92,3.77,56021.18,0.11,76.83,159191.68,6.96,298.79,13.78
ICE,7.79,171.72,70159.48,0.26,26.29,188444.99,6.85,170.9,10.57
EV,15.68,6.51,47695.99,0.1,63.14,190530.47,5.98,284.2,15.26
ICE,8.28,123.42,67729.97,0.27,52.3,224048.78,11.89,249.25,11.78
EV,14.06,4.75,28466.57,0.09,63.46,140115.32,6.03,277.43,8.02
EV,12.42,10.31,39674.76,0.12,49.83,139807.23,5.6,371.78,13.02
EV,13.4,-0.7,61254.35,0.15,78.86,152343.53,6.35,285.11,8.25
ICE,7.62,122.51,86410.64,0.18,53.4,228519.36,9.66,228.67,6.1
EV,17.69,-3.34,64104.59,0.12,77.72,164299.53,5.96,263.41,14.38
EV,14.86,1.6,45438.79,0.13,49.1,97583.35,4.9,297.11,13.36
ICE,7.13,123.25,89056.0,0.24,43.14,165740.92,9.48,263.36,9.64
EV,14.81,-0.6,65323.68,0.08,75.93,118915.69,7.43,233.34,11.09
ICE,8.18,99.06,99065.45,0.28,50.66,177902.09,9.31,243.64,7.36
EV,14.1,5.62,62637.07,0.14,83.78,199599.29,6.32,250.61,12.61
EV,14.31,10.44,41303.37,0.17,83.51,157449.75,4.87,305.13,11.04
ICE,10.73,125.61,88548.15,0.17,43.95,154074.7,6.31,225.6,7.24
EV,18.1,0.29,55514.76,0.15,72.62,138526.43,4.72,339.1,11.87
ICE,7.44,110.31,86562.59,0.36,52.03,199779.9,10.16,237.24,8.84
EV,16.88,9.51,51838.35,0.08,75.07,158856.98,5.05,258.32,10.37
ICE,6.25,160.58,39058.93,0.29,68.55,213643.26,10.38,153.78,8.23
EV,15.7,4.04,63414.76,0.15,65.12,143082.41,5.78,219.21,13.81
ICE,8.04,119.32,98795.87,0.28,57.9,147282.51,6.36,250.96,10.08
ICE,8.16,111.6,85909.86,0.32,56.25,202198.69,8.22,164.82,12.01
EV,14.93,-3.06,47566.16,0.09,50.89,155529.27,6.39,310.89,13.41
EV,15.19,-0.36,53267.45,0.07,59.01,95377.19,6.75,276.16,9.9
EV,14.22,3.66,60391.12,0.09,82.35,146546.71,6.07,333.76,12.08
ICE,7.05,130.05,116392.67,0.24,61.63,171659.74,5.23,244.37,11.46
EV,14.96,-2.88,62119.44,0.1,74.04,133812.26,3.92,365.56,16.39
ICE,7.14,168.37,88603.38,0.19,44.27,200074.08,6.5,152.84,10.79
EV,14.13,-9.02,49045.36,0.09,67.37,185315.55,5.14,291.97,12.8
ICE,8.12,155.72,99304.21,0.32,57.54,218379.84,9.83,271.39,8.96
EV,15.75,-1.43,52147.13,0.13,72.39,154999.67,4.87,307.1,11.4
EV,12.41,-5.34,53979.27,0.13,41.68,156948.22,5.96,208.58,10.77
ICE,7.06,146.79,90766.08,0.33,45.26,253815.99,9.06,235.74,9.77
ICE,6.82,145.45,74493.29,0.25,74.85,138488.18,7.84,269.2,10.1
ICE,6.79,146.42,58222.48,0.33,64.61,187259.12,10.14,218.24,10.02
ICE,7.44,166.53,117850.6,0.29,57.33,214495.62,5.38,150.85,8.88
EV,15.62,2.1,64532.61,0.06,77.57,149406.17,5.09,309.77,8.9
ICE,7.44,156.46,65343.92,0.28,42.0,170231.4,10.01,199.05,8.22
EV,13.85,-0.41,48745.46,0.13,68.22,185865.94,6.15,241.14,11.14
EV,16.83,5.15,44918.6,0.12,78.6,149489.82,5.69,306.9,8.03
EV,13.89,6.45,54996.85,0.12,54.48,118910.72,5.3,269.16,10.27
ICE,9.81,147.53,54807.46,0.21,37.33,187676.88,7.21,139.06,8.06
ICE,7.87,156.12,75485.97,0.29,49.3,292966.68,8.47,157.24,8.83
EV,16.95,0.74,58903.83,0.16,74.73,126847.78,5.89,312.09,14.06
ICE,5.99,135.99,103314.24,0.13,59.09,202268.72,8.22,216.68,10.84
EV,12.31,3.54,32961.28,0.11,78.69,142906.53,6.44,290.32,11.23
ICE,8.33,169.85,74119.28,0.25,51.13,145384.42,11.86,188.3,11.72
EV,14.53,1.97,52132.94,0.08,75.93,111773.04,6.84,338.85,13.14
EV,14.52,-8.87,62059.95,0.14,72.4,154097.92,4.67,229.22,12.48
ICE,6.44,127.79,72623.5,0.21,51.83,277439.4,7.24,213.87,7.69
ICE,7.48,125.64,74695.21,0.28,38.33,110161.24,9.89,194.46,9.26
ICE,8.82,141.94,93837.22,0.31,73.44,221115.36,7.29,190.26,11.43
ICE,7.83,141.47,75429.98,0.17,47.82,254629.09,8.09,162.1,8.57
EV,14.92,-0.97,31793.97,0.18,67.06,160138.67,5.94,279.76,13.07
ICE,7.49,164.15,65631.08,0.26,50.19,137958.32,8.98,200.21,9.62
EV,15.7,6.31,57774.07,0.09,82.53,150761.56,7.17,348.89,9.58
ICE,7.37,147.01,92381.22,0.18,58.56,101796.56,9.39,199.73,6.92
EV,12.18,8.08,39914.45,0.12,78.23,110430.95,6.94,258.07,11.32
ICE,9.56,157.97,99850.11,0.21,48.75,156452.33,5.38,167.34,8.69
EV,14.03,-4.18,70997.22,0.1,73.24,134582.98,5.73,244.27,11.56
ICE,6.86,117.5,102809.6,0.21,39.92,128775.51,9.03,206.23,10.17
ICE,4.2,175.66,52161.0,0.31,41.09,233213.74,9.35,218.93,10.0
EV,18.5,7.61,34351.97,0.12,81.06,190354.43,5.1,119.95,12.89
ICE,7.33,141.31,105939.51,0.14,64.83,110464.1,7.87,228.44,9.91
ICE,8.15,136.72,83386.82,0.29,61.59,142661.15,10.3,223.34,10.48
ICE,6.56,128.38,101778.9,0.23,71.06,202642.3,7.67,259.09,13.94
ICE,5.18,187.41,62954.37,0.23,43.13,201810.34,10.09,175.29,9.23
ICE,6.96,139.11,66309.82,0.18,49.02,202851.32,9.96,213.8,9.55
ICE,6.67,112.9,83636.75,0.24,48.99,188943.98,10.34,189.73,9.89
EV,14.22,-8.31,46921.92,0.1,53.15,132005.36,7.03,249.12,14.54
ICE,7.84,99.15,84635.82,0.27,53.24,90929.54,8.17,227.08,10.06
ICE,5.88,151.66,98240.1,0.19,31.6,207211.49,9.16,258.22,7.87
EV,17.01,5.8,48657.21,0.12,72.97,198227.35,7.1,289.71,13.85
EV,17.17,0.61,57197.58,0.13,60.14,154483.68,8.29,340.66,10.92
EV,13.16,6.87,56197.11,0.1,79.37,146892.39,6.06,274.55,10.48
ICE,6.24,94.83,82451.72,0.3,57.06,219760.08,8.17,245.14,8.91
ICE,8.08,100.03,83216.95,0.26,76.25,240826.57,9.55,262.56,8.41
ICE,6.32,102.03,80563.5,0.3,53.6,174913.49,9.87,218.08,8.73
ICE,10.27,140.68,107943.04,0.24,57.18,201561.66,7.4,221.28,8.95
ICE,8.41,131.61,95912.0,0.29,53.5,265737.79,8.91,232.94,5.65
EV,11.96,6.14,37476.07,0.13,72.34,125469.53,5.61,335.96,12.23
EV,15.4,11.6,56793.73,0.16,64.02,105885.31,6.91,247.26,16.92
EV,18.34,7.06,47819.54,0.11,71.29,133213.61,7.8,304.47,10.46
ICE,6.04,137.39,71840.25,0.22,50.62,224976.57,11.31,214.15,9.78
EV,13.58,2.1,45792.38,0.1,84.24,127839.08,4.65,332.44,12.46
EV,13.42,0.57,57045.07,0.08,65.46,140388.45,3.62,259.89,10.42
ICE,8.0,166.63,75902.72,0.26,49.85,152645.59,8.64,200.07,8.77
ICE,7.5,134.64,62518.38,0.19,50.34,173900.01,9.86,155.13,12.01
EV,16.8,4.6,54183.98,0.17,59.45,152387.21,5.07,258.77,15.95
EV,16.76,6.31,30803.27,0.07,70.01,138466.29,7.32,340.43,10.55
EV,13.75,0.62,44835.7,0.14,80.29,156152.26,7.65,334.69,12.1
ICE,9.23,150.1,116686.54,0.28,49.48,170419.03,6.91,191.38,5.48
EV,14.57,-1.04,48409.55,0.11,63.46,132261.66,5.74,281.91,13.18
EV,13.91,-0.59,41049.3,0.1,67.17,122327.61,5.37,307.1,9.2
ICE,6.68,115.12,91519.06,0.26,51.44,235336.96,8.0,139.9,8.83
EV,13.94,-5.98,56833.29,0.11,71.07,140199.8,6.53,278.93,9.58
EV,13.72,4.85,43921.25,0.12,64.38,122356.47,8.53,267.47,11.0
EV,17.39,10.37,50917.52,0.11,74.47,97428.69,3.97,284.09,9.76
ICE,9.89,174.59,81612.88,0.23,40.04,137749.18,10.33,196.84,9.6
ICE,9.03,146.02,65129.98,0.2,35.45,163155.89,6.87,228.28,9.94
ICE,9.19,133.42,102367.5,0.32,53.78,229853.19,9.04,245.12,8.91
ICE,5.25,127.32,65795.26,0.13,35.94,189623.23,8.46,213.31,10.63
EV,14.44,5.35,50774.81,0.12,69.51,155144.08,5.7,410.49,12.2
ICE,7.19,155.24,93043.59,0.26,59.56,163663.21,9.05,144.38,10.71
EV,15.35,-7.96,51897.06,0.07,46.13,94602.81,3.29,337.37,12.22
ICE,7.98,145.33,79000.98,0.27,57.18,220948.09,9.31,297.95,6.99
ICE,5.89,72.55,66106.41,0.19,45.79,181237.92,9.77,175.31,13.78
EV,13.82,-0.05,48168.03,0.13,77.32,124450.13,6.86,371.82,15.82
EV,13.88,4.96,40019.39,0.09,56.34,140619.95,4.56,274.25,11.04
ICE,7.0,107.12,80008.4,0.22,71.67,142437.87,8.66,180.78,8.94
ICE,8.07,102.0,88826.54,0.17,46.09,134599.52,6.68,190.39,8.56
EV,14.93,0.38,50886.58,0.13,54.62,168285.78,6.18,231.4,10.76
EV,13.73,-5.97,38951.37,0.16,75.31,168369.97,6.03,318.01,8.67
EV,15.71,0.41,41695.56,0.08,82.07,189682.33,4.81,306.11,13.76
EV,14.89,-7.82,38623.14,0.12,49.8,202995.35,6.96,115.58,13.16
ICE,8.26,146.0,58625.43,0.13,60.03,142596.69,5.9,227.92,7.51
ICE,7.94,124.84,99607.03,0.25,58.04,158017.82,8.23,220.83,8.41
EV,14.11,0.53,34018.76,0.11,73.96,130937.7,7.08,307.9,13.21
EV,14.78,-2.9,58691.56,0.13,64.2,90980.25,4.79,405.56,13.98
EV,15.83,-2.41,43756.55,0.14,59.08,162562.8,5.94,315.28,13.23
ICE,7.57,162.96,81865.64,0.3,51.34,106873.4,9.75,167.37,8.99
ICE,6.34,163.37,81169.06,0.17,58.65,228819.06,12.57,144.08,6.98
EV,15.12,4.35,50409.19,0.11,85.59,148803.17,6.48,365.7,8.49
EV,15.94,-1.25,47694.75,0.14,79.49,134457.93,5.71,255.7,12.27
ICE,8.42,204.46,61511.16,0.24,59.12,149081.06,7.75,199.38,9.79
EV,16.29,-5.97,45499.87,0.14,72.68,200140.43,5.14,338.64,13.13
