energy_consumption,co2_emissions_g_per_km,maintenance_cost_annual,cost_per_km,energy_storage_capacity,mileage_km,acceleration_0_100_kph_sec,torque_Nm,lifespan_years,efficiency
15.7,6.31,57774.07,0.09,82.53,150761.56,7.17,348.89,9.58,9602.647133757962
12.18,8.08,39914.45,0.12,78.23,110430.95,6.94,258.07,11.32,9066.580459770115
14.03,-4.18,70997.22,0.1,73.24,134582.98,5.73,244.27,11.56,9592.514611546687
18.5,7.61,34351.97,0.12,81.06,190354.43,5.1,119.95,12.89,10289.428648648649
14.22,-8.31,46921.92,0.1,53.15,132005.36,7.03,249.12,14.54,9283.077355836847
17.01,5.8,48657.21,0.12,72.97,198227.35,7.1,289.71,13.85,11653.577307466196
17.17,0.61,57197.58,0.13,60.14,154483.68,8.29,340.66,10.92,8997.302271403609
13.16,6.87,56197.11,0.1,79.37,146892.39,6.06,274.55,10.48,11162.035714285716
11.96,6.14,37476.07,0.13,72.34,125469.53,5.61,335.96,12.23,10490.76337792642
15.4,11.6,56793.73,0.16,64.02,105885.31,6.91,247.26,16.92,6875.66948051948
18.34,7.06,47819.54,0.11,71.29,133213.61,7.8,304.47,10.46,7263.555616139585
13.58,2.1,45792.38,0.1,84.24,127839.08,4.65,332.44,12.46,9413.77614138439
13.42,0.57,57045.07,0.08,65.46,140388.45,3.62,259.89,10.42,10461.136363636364
16.8,4.6,54183.98,0.17,59.45,152387.21,5.07,258.77,15.95,9070.66726190476
16.76,6.31,30803.27,0.07,70.01,138466.29,7.32,340.43,10.55,8261.711813842481
13.75,0.62,44835.7,0.14,80.29,156152.26,7.65,334.69,12.1,11356.528
14.57,-1.04,48409.55,0.11,63.46,132261.66,5.74,281.91,13.18,9077.670555936857
13.91,-0.59,41049.3,0.1,67.17,122327.61,5.37,307.1,9.2,8794.220704529116
13.94,-5.98,56833.29,0.11,71.07,140199.8,6.53,278.93,9.58,10057.374461979913
13.72,4.85,43921.25,0.12,64.38,122356.47,8.53,267.47,11.0,8918.110058309037
17.39,10.37,50917.52,0.11,74.47,97428.69,3.97,284.09,9.76,5602.569867740081
14.44,5.35,50774.81,0.12,69.51,155144.08,5.7,410.49,12.2,10744.049861495845
15.35,-7.96,51897.06,0.07,46.13,94602.81,3.29,337.37,12.22,6163.049511400652
13.82,-0.05,48168.03,0.13,77.32,124450.13,6.86,371.82,15.82,9005.074529667148
13.88,4.96,40019.39,0.09,56.34,140619.95,4.56,274.25,11.04,10131.120317002882
14.93,0.38,50886.58,0.13,54.62,168285.78,6.18,231.4,10.76,11271.653047555257
13.73,-5.97,38951.37,0.16,75.31,168369.97,6.03,318.01,8.67,12262.925710123816
15.71,0.41,41695.56,0.08,82.07,189682.33,4.81,306.11,13.76,12073.986632718013
14.89,-7.82,38623.14,0.12,49.8,202995.35,6.96,115.58,13.16,13632.998656816655
14.11,0.53,34018.76,0.11,73.96,130937.7,7.08,307.9,13.21,9279.780297661233
14.78,-2.9,58691.56,0.13,64.2,90980.25,4.79,405.56,13.98,6155.632611637348
15.83,-2.41,43756.55,0.14,59.08,162562.8,5.94,315.28,13.23,10269.286165508527
15.12,4.35,50409.19,0.11,85.59,148803.17,6.48,365.7,8.49,9841.4794973545
15.94,-1.25,47694.75,0.14,79.49,134457.93,5.71,255.7,12.27,8435.252823086574
16.29,-5.97,45499.87,0.14,72.68,200140.43,5.14,338.64,13.13,12286.091467157767
15.65,1.47,47003.23,0.13,78.09,139678.08,8.14,267.99,12.82,8925.116932907347
13.82,-0.03,50853.18,0.16,55.16,105115.24,6.51,268.7,13.61,7606.023154848047
14.42,-5.11,45083.64,0.12,78.02,150435.27,5.41,316.13,12.17,10432.40429958391
15.07,-6.12,57426.82,0.18,88.49,169789.5,4.73,298.4,7.68,11266.72196416722
13.82,3.48,79490.94,0.13,76.9,118463.4,7.27,310.27,14.1,8571.881331403762
14.63,-14.24,48626.28,0.11,72.79,181407.35,6.72,329.88,12.3,12399.682159945318
16.18,2.54,47484.61,0.11,71.86,190901.3,6.7,352.36,9.95,11798.597033374535
16.43,5.94,53161.56,0.09,76.65,105178.87,6.14,345.11,12.65,6401.6354230066945
13.64,-14.7,49313.66,0.09,69.19,150022.67,5.95,332.23,14.96,10998.729472140763
13.47,-1.05,64484.99,0.09,76.46,172190.26,7.1,398.62,11.59,12783.241276911656
16.7,8.14,56863.18,0.15,69.22,175134.92,6.36,250.15,10.07,10487.120958083833
12.88,0.11,43094.59,0.11,84.97,107791.7,6.34,287.28,12.66,8368.920807453416
15.3,1.5,42415.05,0.1,65.96,150695.88,7.27,315.71,9.08,9849.403921568628
13.15,2.79,54367.39,0.11,79.98,187576.22,7.42,399.18,10.96,14264.35133079848
17.84,5.0,62179.59,0.11,81.82,108552.25,6.02,249.97,11.7,6084.767376681614
15.98,-3.39,40704.89,0.1,78.2,154850.96,6.0,303.9,11.77,9690.297872340425
15.11,0.34,45569.56,0.07,80.96,125673.18,5.41,219.69,13.29,8317.219060225016
13.7,-2.33,45826.33,0.18,77.42,145187.42,5.31,273.55,14.53,10597.62189781022
13.16,-1.22,46459.59,0.12,68.89,102533.3,5.2,280.48,8.94,7791.284194528876
14.63,5.43,50036.96,0.14,38.3,113555.82,7.2,228.43,11.25,7761.846889952153
17.74,-9.83,55142.55,0.15,58.67,169676.76,6.51,326.99,11.93,9564.642615558063
15.03,0.84,39080.66,0.12,66.85,180308.24,4.73,376.0,11.29,11996.55622089155
11.1,-6.66,54620.61,0.17,72.03,162474.8,5.38,247.18,13.89,14637.36936936937
17.24,-2.19,56929.19,0.16,80.54,182969.5,6.29,282.34,9.3,10613.080046403713
12.98,2.58,56511.36,0.15,57.71,170748.56,5.81,238.75,13.05,13154.742681047765
14.42,1.96,51433.88,0.06,66.76,122851.57,4.46,288.45,10.22,8519.526352288489
13.8,-1.29,58071.23,0.05,78.62,112915.93,4.37,231.79,11.17,8182.3137681159415
8.52,2.69,62357.82,0.09,77.6,158172.64,5.84,319.33,11.62,18564.86384976526
15.52,-3.12,46713.82,0.13,68.0,117789.34,6.53,181.63,14.21,7589.519329896907
15.71,-1.75,56012.07,0.12,63.02,154077.74,6.32,362.17,14.28,9807.621896880966
11.97,-0.67,42140.14,0.12,82.95,138798.95,6.13,238.18,10.68,11595.568086883877
18.51,9.5,50239.03,0.16,65.16,158963.93,6.03,297.61,12.82,8588.00270124257
15.51,-5.27,46648.62,0.11,62.09,167380.4,6.81,435.52,12.41,10791.77304964539
15.14,-0.12,63606.59,0.11,51.48,144422.27,8.49,272.16,8.38,9539.119550858652
12.36,10.07,35034.71,0.12,73.24,153085.76,4.41,234.61,15.15,12385.57928802589
14.04,2.54,41669.44,0.06,76.52,139169.72,6.7,386.15,11.94,9912.37321937322
14.38,9.69,64313.67,0.11,68.02,165718.82,4.92,372.78,13.81,11524.257301808067
10.15,4.74,41536.84,0.16,71.16,168692.62,7.0,336.15,11.9,16619.962561576354
14.75,6.41,56979.03,0.14,62.67,178574.34,7.46,324.6,13.92,12106.734915254237
15.05,-0.86,48441.02,0.12,52.58,112732.6,5.74,310.44,11.23,7490.538205980067
13.25,5.12,57903.72,0.11,48.3,84168.53,5.93,161.31,8.44,6352.341886792453
15.59,-4.23,33568.11,0.09,72.44,159767.33,6.26,263.11,10.88,10248.064785118666
14.34,0.26,38611.67,0.13,72.22,201123.06,5.13,359.56,11.02,14025.317991631799
15.5,3.19,42690.44,0.15,78.27,187728.57,5.31,289.4,11.55,12111.52064516129
15.34,-2.29,45907.18,0.12,77.66,99231.88,7.22,279.31,11.63,6468.831812255541
11.48,-1.38,46659.23,0.15,65.17,96780.91,5.53,222.15,10.93,8430.392857142857
16.0,7.57,50858.93,0.1,65.83,165137.45,7.69,389.15,10.15,10321.090625
14.02,4.57,23642.52,0.14,59.94,152267.29,5.89,365.69,11.3,10860.719686162625
13.28,8.06,38693.85,0.13,63.35,134440.0,8.06,229.64,12.33,10123.493975903615
11.32,-0.52,54148.66,0.1,75.19,160150.72,4.29,335.47,10.5,14147.590106007066
13.49,1.12,44504.43,0.09,69.66,78470.8,6.7,283.11,15.97,5816.96071163825
18.69,3.11,53240.57,0.11,87.48,164786.52,4.21,320.58,10.02,8816.828250401282
10.95,8.39,50142.73,0.15,84.35,108065.84,5.37,287.15,13.83,9869.026484018264
14.3,-2.65,47653.79,0.15,70.14,120053.63,7.29,270.81,8.56,8395.35874125874
18.1,-5.72,69041.37,0.16,65.32,92859.76,6.93,335.17,10.91,5130.373480662983
12.58,-0.74,40813.13,0.08,61.22,156314.89,7.26,277.99,14.77,12425.666931637521
10.75,10.79,53437.88,0.13,63.33,122736.91,5.48,284.37,12.19,11417.386976744187
14.31,-1.96,52604.42,0.09,74.8,130766.57,6.37,316.72,11.87,9138.125087351502
12.36,-7.2,41715.03,0.1,69.05,143658.47,5.63,167.41,15.33,11622.853559870551
16.03,-3.51,64841.16,0.1,74.94,184795.2,5.6,314.06,13.22,11528.08484092327
15.02,-1.58,50341.52,0.14,59.2,170967.59,4.92,288.71,11.22,11382.662450066578
17.12,-1.11,61243.53,0.13,71.02,126863.99,7.35,310.12,8.44,7410.279789719626
16.44,2.02,56791.43,0.09,67.69,121464.47,5.68,326.64,9.75,7388.349756690997
15.65,-3.13,58250.98,0.08,62.62,171871.91,7.38,348.39,9.84,10982.230670926518
13.7,12.9,58925.97,0.18,75.04,142291.65,3.51,336.34,10.84,10386.251824817518
13.37,1.41,49240.49,0.14,68.39,111792.43,6.13,287.66,14.53,8361.438294689604
13.69,0.97,69872.76,0.12,49.14,85388.08,7.16,274.47,14.66,6237.259313367422
17.95,-9.01,56170.06,0.11,70.47,161263.68,4.96,306.32,10.89,8984.049025069638
14.99,4.77,33451.13,0.13,75.65,197712.11,4.75,311.91,11.55,13189.600400266843
11.99,2.26,43479.11,0.12,83.89,190775.68,5.33,300.39,12.37,15911.232693911592
15.37,-2.77,40460.61,0.08,66.53,186077.3,6.05,313.88,10.03,12106.525699414444
14.04,-14.61,45426.98,0.14,71.96,142381.45,4.82,330.4,8.73,10141.12891737892
13.85,-14.36,50549.34,0.12,77.66,178573.86,4.98,284.45,13.29,12893.419494584838
17.56,1.85,53295.09,0.09,66.27,181804.31,5.53,241.31,12.32,10353.320615034168
16.03,-1.25,38517.37,0.18,78.76,183556.5,6.18,359.0,11.92,11450.810979413598
16.74,-3.23,43646.38,0.18,86.35,143583.74,6.91,324.27,17.17,8577.284348864994
17.88,0.45,47411.46,0.13,67.64,153777.04,6.54,276.98,8.91,8600.505592841164
17.48,-3.28,50693.44,0.11,79.43,159344.73,4.57,368.28,11.92,9115.83123569794
14.4,-0.19,51523.55,0.13,73.0,125615.29,5.64,223.88,13.89,8723.284027777778
15.09,2.24,57505.79,0.11,79.28,138361.05,6.29,296.44,10.47,9169.055666003975
13.6,1.2,49358.12,0.07,84.14,152459.66,5.28,364.46,11.75,11210.26911764706
14.91,5.63,48131.04,0.11,66.14,99997.1,5.63,348.79,12.67,6706.713615023475
15.06,5.38,46403.7,0.09,49.5,165303.73,5.72,307.22,14.51,10976.343293492697
15.23,0.67,32741.93,0.09,90.93,130767.56,6.11,261.25,11.37,8586.182534471438
13.65,2.47,43418.84,0.11,74.6,160249.81,5.64,352.5,11.15,11739.91282051282
13.28,2.57,59758.17,0.14,72.17,118330.82,5.05,278.43,13.28,8910.453313253012
15.88,13.22,58760.47,0.12,65.4,200203.26,6.88,290.52,13.25,12607.258186397985
15.01,5.93,44533.2,0.13,61.21,166030.95,5.63,294.51,13.25,11061.355762824784
12.98,-1.67,66999.57,0.13,63.21,126522.04,5.24,392.6,9.78,9747.460708782743
12.13,3.05,45127.71,0.09,64.76,227637.27,6.74,311.81,14.12,18766.469084913435
13.99,1.64,57181.86,0.11,86.56,152934.82,4.54,365.49,12.56,10931.724088634739
15.82,-0.1,55628.81,0.06,59.54,180685.24,6.15,279.79,12.59,11421.317319848293
14.44,0.09,46334.93,0.13,59.49,190863.97,5.56,242.51,9.51,13217.72645429363
14.55,-4.95,27881.38,0.1,65.21,181212.93,5.94,302.15,12.11,12454.496907216493
14.25,1.01,34644.28,0.13,60.5,135069.82,5.07,327.15,14.76,9478.583859649123
17.19,4.26,45205.07,0.1,74.25,161004.42,6.44,319.75,10.63,9366.167539267015
15.06,0.11,53011.07,0.09,77.39,130519.06,7.23,208.31,14.38,8666.604249667995
11.79,-0.75,51733.42,0.12,73.81,181016.43,5.98,301.71,9.11,15353.386768447837
15.58,-0.11,39861.04,0.13,59.3,118634.12,5.7,223.37,11.2,7614.513478818998
15.23,1.66,56255.08,0.22,93.88,163514.87,7.05,264.3,13.29,10736.36703873933
16.48,8.42,43052.87,0.14,72.05,164972.87,6.95,338.32,11.6,10010.48968446602
14.92,-2.68,53676.49,0.15,70.81,161837.4,4.04,364.96,14.22,10847.010723860589
19.12,2.69,60473.18,0.1,83.7,151017.08,4.86,278.58,12.57,7898.382845188284
16.92,-8.07,55017.83,0.17,71.35,147963.86,7.27,204.54,7.12,8744.908983451534
14.08,-7.57,39959.45,0.12,62.92,204566.96,7.67,309.59,13.27,14528.903409090908
16.3,4.47,45479.1,0.17,51.41,161979.53,4.7,279.65,10.04,9937.394478527607
12.56,-5.9,53350.58,0.14,59.63,133074.11,6.02,349.72,13.74,10595.072452229299
18.26,-0.56,32214.12,0.09,72.91,182763.2,6.07,343.7,13.67,10008.93756845564
16.72,2.71,56835.69,0.13,67.51,155027.1,4.65,274.86,12.86,9271.955741626794
12.39,2.0,44970.25,0.14,50.63,172669.98,6.78,210.97,12.38,13936.237288135593
17.18,-0.65,63213.04,0.09,75.2,117800.16,5.67,243.96,11.04,6856.8195576251455
14.06,-0.93,43506.27,0.13,56.27,238069.74,6.52,299.4,13.84,16932.413940256043
14.93,6.55,49689.41,0.1,63.92,188131.96,4.65,441.21,12.93,12600.935030140656
15.86,-9.38,55950.29,0.14,67.34,101233.68,5.91,305.7,7.77,6382.955863808323
13.28,0.92,64436.32,0.1,65.41,212479.81,6.66,300.09,10.89,15999.985692771084
17.38,4.6,52205.41,0.09,71.49,120642.35,4.27,327.07,8.0,6941.447065592636
15.36,-7.03,58745.17,0.12,72.79,113023.79,7.2,280.69,10.53,7358.319661458333
20.05,4.82,27617.69,0.13,79.94,77889.94,6.19,234.0,7.69,3884.7850374064838
18.75,-4.77,48154.75,0.1,67.46,156617.51,4.3,263.44,14.28,8352.933866666666
15.49,2.18,54920.19,0.09,89.48,98942.93,5.86,342.58,17.17,6387.535829567462
16.66,2.33,76207.93,0.08,62.51,120602.23,6.16,263.26,11.71,7239.029411764705
16.74,-12.12,40745.75,0.05,61.04,131264.69,5.81,348.62,13.86,7841.379330943848
14.84,-2.98,40510.83,0.1,73.27,165926.83,5.0,367.6,11.44,11181.053234501347
14.11,0.1,62000.79,0.13,74.22,153401.83,4.23,349.71,9.86,10871.851878100637
18.7,-8.34,40264.54,0.1,55.84,187630.15,5.58,273.41,15.0,10033.697860962568
12.79,5.74,53904.65,0.12,60.49,139942.68,5.63,264.43,8.99,10941.569976544175
13.65,-0.99,53525.05,0.13,60.61,175533.72,5.42,351.51,11.27,12859.613186813187
15.56,4.42,47985.08,0.11,84.42,181158.18,4.77,259.62,12.44,11642.556555269923
16.3,1.35,56404.8,0.1,70.83,150033.3,7.3,227.8,11.71,9204.496932515336
14.9,-0.97,55472.65,0.09,80.58,171855.56,6.88,420.24,13.17,11533.930201342282
11.44,1.62,58970.66,0.08,76.86,176960.07,5.21,281.23,6.98,15468.53758741259
13.04,10.29,52112.84,0.15,82.91,141699.85,5.39,247.37,14.1,10866.55291411043
11.95,-4.6,52522.4,0.11,64.99,124178.13,4.68,330.04,13.29,10391.475313807532
16.5,9.27,41485.94,0.05,61.02,104913.88,6.34,333.5,14.26,6358.41696969697
16.63,2.79,54977.43,0.09,73.83,155654.27,6.61,202.67,10.3,9359.847865303667
13.99,5.95,44739.65,0.16,80.25,133159.86,5.83,254.52,9.34,9518.217298070049
16.93,5.11,65805.41,0.09,65.67,173838.01,7.58,262.88,8.46,10268.045481393976
18.05,-3.23,46920.38,0.18,74.73,140097.29,5.45,288.31,13.43,7761.622714681441
13.89,8.88,58333.34,0.13,95.49,135893.9,5.25,284.62,10.49,9783.578113750898
16.42,0.22,47941.41,0.15,70.15,206653.11,5.97,344.57,11.25,12585.451278928134
17.06,1.87,49879.11,0.15,59.08,105510.47,6.3,348.34,9.95,6184.669988276671
15.81,-7.78,59216.5,0.06,69.42,162716.68,7.01,226.44,13.35,10292.010120177103
17.88,-2.29,46915.17,0.09,64.02,144071.39,5.82,367.46,11.98,8057.684004474274
14.12,0.73,43644.42,0.13,50.86,193258.27,4.57,291.1,12.66,13686.846317280453
14.96,-2.73,46307.23,0.12,72.27,101039.55,8.15,315.31,11.89,6753.980614973262
17.06,-1.34,68325.57,0.08,73.07,76940.63,4.58,305.88,12.63,4510.001758499415
15.72,-0.23,59653.97,0.08,75.72,114632.3,6.58,360.29,13.9,7292.131043256997
16.95,0.97,34513.82,0.1,70.19,124917.25,4.83,322.21,13.31,7369.749262536873
14.2,-0.79,65337.28,0.18,90.98,105076.6,7.79,338.21,12.7,7399.760563380282
18.59,-8.74,56813.6,0.11,56.49,96182.37,6.26,267.86,8.69,5173.8768154922
12.23,2.96,53400.51,0.11,58.06,197984.13,5.64,291.02,14.13,16188.399836467703
17.13,-2.18,57682.07,0.1,64.31,108027.65,4.76,240.29,10.13,6306.34267367192
13.92,1.84,42575.16,0.08,85.93,154075.78,4.96,318.63,12.83,11068.662356321838
15.14,-5.36,62374.38,0.15,63.86,133404.68,5.78,257.68,14.91,8811.405548216644
16.58,-0.72,46129.0,0.1,79.01,156534.07,6.62,320.41,11.51,9441.138118214718
12.5,-4.53,54666.71,0.19,77.9,128502.8,4.54,286.48,10.12,10280.224
18.79,2.82,37424.22,0.12,67.54,145481.58,5.85,294.31,13.45,7742.5002660989885
12.44,-0.84,54632.89,0.14,74.96,120222.66,5.61,292.97,15.04,9664.200964630225
13.79,6.13,70884.43,0.12,67.69,189841.71,6.58,383.99,11.38,13766.621464829586
13.09,-1.86,67193.78,0.04,72.86,163518.39,3.97,314.78,11.94,12491.855614973263
18.37,-7.63,50253.88,0.09,78.81,128656.13,6.4,312.53,13.14,7003.599891126837
16.15,-4.99,36223.82,0.14,69.0,211076.21,4.42,300.59,12.16,13069.734365325077
13.18,5.94,57846.04,0.1,68.63,136915.34,6.15,257.93,9.64,10388.113808801214
14.07,0.99,42372.75,0.16,55.94,172006.43,6.45,301.61,12.86,12225.048329779673
14.16,-0.49,59514.49,0.16,79.24,154817.68,5.83,309.56,13.03,10933.45197740113
16.64,2.73,51412.57,0.14,61.78,143168.41,7.01,308.33,11.4,8603.87079326923
14.37,-1.47,45299.58,0.14,70.45,160811.8,5.11,300.7,10.99,11190.80027835769
12.84,4.36,49606.93,0.16,79.51,159949.43,5.76,374.65,13.06,12457.120716510903
13.95,-4.52,46705.52,0.13,84.71,119792.18,6.72,289.24,8.63,8587.253046594982
15.85,-6.9,62723.54,0.17,78.87,198697.7,7.31,274.79,14.74,12536.132492113566
12.2,-5.72,47371.09,0.11,72.08,147911.0,6.21,297.77,11.97,12123.852459016394
16.37,3.17,57441.92,0.16,69.94,143254.41,5.91,289.79,13.09,8751.032987171655
16.65,-4.78,51906.36,0.11,75.23,212541.39,6.38,245.12,14.55,12765.24864864865
14.59,1.51,44352.26,0.16,69.43,164069.34,5.18,250.96,14.36,11245.32830705963
17.34,-0.55,52153.97,0.06,68.76,104391.4,6.45,249.37,9.85,6020.265282583621
15.8,4.24,36006.94,0.06,73.57,161941.45,6.28,316.66,11.34,10249.458860759494
14.11,-0.84,50980.68,0.15,83.51,169376.71,7.75,265.54,8.57,12004.01913536499
18.07,2.9,36473.3,0.07,61.75,153423.04,7.12,333.18,12.51,8490.483674598783
14.71,-1.69,55752.05,0.08,63.54,135061.14,6.08,315.07,12.78,9181.586675730796
12.24,-1.54,29129.73,0.09,57.55,160811.06,4.65,443.26,8.46,13138.158496732025
14.03,-6.05,53636.32,0.12,80.35,115985.09,3.79,390.99,14.85,8266.934426229509
15.67,5.63,41133.19,0.17,69.64,129068.43,5.19,340.51,10.31,8236.657945118059
16.32,-5.45,55348.17,0.12,71.47,130396.11,5.47,242.23,12.09,7989.957720588235
15.09,3.59,47283.45,0.12,73.49,152732.81,6.5,290.8,11.66,10121.45858184228
16.44,-2.92,48256.46,0.12,64.38,139645.59,4.66,253.78,13.48,8494.257299270072
13.94,-1.3,45467.52,0.06,81.4,152535.55,6.26,302.65,12.88,10942.291965566714
13.71,-7.09,46128.69,0.17,74.21,154024.99,5.77,361.44,12.83,11234.499635302698
11.16,-0.95,44558.86,0.09,81.46,135580.56,7.04,251.03,10.07,12148.79569892473
12.18,2.12,37607.42,0.14,69.12,161944.42,6.96,302.76,13.96,13295.929392446635
14.82,-6.48,56897.08,0.17,76.8,133769.79,6.9,339.41,9.38,9026.3016194332
14.35,4.42,52553.84,0.16,72.19,172409.43,7.47,343.64,12.42,12014.594425087107
16.06,8.31,47829.83,0.15,51.79,186718.46,4.25,339.75,10.63,11626.305105853051
16.29,-5.22,34688.92,0.07,60.99,144672.12,5.45,210.29,13.23,8881.038674033149
13.88,0.99,48061.74,0.15,64.21,134647.09,5.14,320.24,14.69,9700.798991354466
12.84,-0.74,43995.76,0.16,74.2,162475.11,6.39,297.46,16.37,12653.82476635514
13.02,-2.24,64033.7,0.09,63.33,159834.33,6.37,355.09,11.32,12276.062211981567
11.79,8.63,69925.15,0.11,61.55,152483.19,5.11,272.06,15.83,12933.264631043257
18.77,3.06,40993.79,0.08,67.06,119100.83,8.34,203.25,11.92,6345.275972296217
13.23,-0.1,54258.87,0.14,80.97,180883.22,4.57,322.51,13.29,13672.201058201057
15.26,2.97,30877.45,0.11,85.29,179271.4,4.93,379.87,11.22,11747.798165137614
14.13,-4.02,50033.76,0.12,73.6,181465.92,7.11,299.23,16.3,12842.59872611465
13.59,-4.22,58203.44,0.12,72.5,140434.61,6.41,298.49,11.09,10333.67255334805
14.85,-1.12,47333.48,0.15,62.84,156414.26,7.17,406.08,13.26,10532.946801346803
14.0,2.15,37792.88,0.13,67.76,219740.2,5.67,194.77,12.47,15695.728571428572
15.75,0.6,62389.46,0.13,67.4,136792.22,4.49,243.64,12.12,8685.220317460318
11.86,-6.6,47151.25,0.13,77.83,110914.66,6.82,330.12,9.25,9351.994940978078
19.31,7.36,61173.99,0.07,79.94,162948.95,5.83,323.52,11.63,8438.578456758158
15.05,2.16,74116.77,0.1,93.92,138180.4,5.94,329.03,11.11,9181.421926910298
13.45,-3.37,45632.8,0.07,88.57,158728.94,6.01,270.43,14.97,11801.408178438662
12.18,5.55,60237.1,0.09,75.78,131884.23,4.6,349.73,13.28,10827.933497536947
14.95,6.59,58902.48,0.06,60.59,148669.16,7.54,193.21,15.3,9944.425418060202
18.76,4.6,50838.27,0.06,61.13,121800.97,6.37,259.84,11.43,6492.589019189765
15.15,-1.07,34821.26,0.17,77.55,157685.12,5.56,418.46,12.3,10408.258745874587
15.77,2.2,43380.18,0.06,65.04,137140.36,5.85,314.89,14.0,8696.281547241597
14.96,2.68,69956.67,0.15,56.93,142281.0,4.05,322.81,13.66,9510.76203208556
17.29,-4.05,67586.2,0.09,78.32,150470.47,4.21,228.55,12.86,8702.745517640255
11.93,2.28,38774.55,0.18,59.42,127074.4,4.2,288.65,9.88,10651.668063704945
13.35,-3.07,55006.66,0.08,53.39,134623.98,6.69,298.17,10.06,10084.193258426967
13.36,-0.35,54577.73,0.07,82.2,182525.95,5.61,277.23,15.62,13662.122005988025
13.75,0.35,50435.15,0.13,70.02,150612.52,4.43,268.44,12.26,10953.637818181818
14.47,-4.94,70236.06,0.15,88.13,146253.39,7.59,279.27,13.51,10107.352453351763
15.91,15.69,47634.45,0.11,80.6,168077.41,7.81,407.96,11.29,10564.262099308611
15.15,2.12,59413.11,0.13,57.8,119762.65,4.69,281.92,9.73,7905.125412541253
16.27,8.2,57307.64,0.13,58.21,212046.78,6.97,364.32,13.58,13032.99200983405
16.54,5.82,59968.59,0.1,88.21,155801.38,4.99,298.46,10.03,9419.672309552601
15.39,4.48,46787.57,0.12,61.96,124745.35,3.89,280.09,13.37,8105.610786224822
13.03,1.2,49328.22,0.12,81.5,201137.76,4.9,246.83,10.23,15436.51266308519
12.19,5.01,47955.29,0.08,70.98,120708.0,5.82,369.6,11.38,9902.214930270715
13.19,-5.6,38691.12,0.09,64.49,146699.84,5.2,197.53,11.11,11122.050037907506
12.95,-4.6,39289.46,0.16,67.08,162523.95,6.31,367.96,11.83,12550.111969111971
14.05,0.17,41012.16,0.13,71.64,132005.34,6.54,294.12,12.04,9395.397864768682
15.2,-2.22,38834.76,0.13,63.28,135333.42,5.18,235.71,15.25,8903.514473684212
16.22,-3.78,52502.0,0.09,77.03,166607.09,7.13,316.95,12.28,10271.707151664612
13.31,2.75,45707.56,0.15,65.83,122460.72,5.98,285.84,13.36,9200.655146506386
17.11,-7.88,49907.0,0.11,98.15,149338.95,7.53,295.36,10.59,8728.167738164817
13.55,1.19,47033.93,0.11,67.15,161002.39,5.08,259.51,10.61,11882.09520295203
14.56,-6.78,49497.95,0.13,64.16,138763.98,5.53,374.19,14.43,9530.493131868132
18.06,-4.23,54631.85,0.1,64.61,175944.73,6.46,257.33,11.42,9742.233111849393
15.04,3.97,50382.38,0.11,64.04,149916.42,5.87,245.71,10.56,9967.847074468087
13.4,-1.07,54583.87,0.12,83.6,156249.68,6.67,395.13,12.16,11660.423880597014
17.51,-7.91,59153.9,0.14,84.27,231090.83,5.62,381.96,12.97,13197.64877213021
14.8,-1.72,48094.97,0.05,62.72,103666.98,6.96,322.24,12.69,7004.525675675675
14.89,-2.18,51235.48,0.12,71.12,92851.67,6.86,238.21,10.4,6235.840832773673
13.98,5.4,41389.12,0.09,82.62,147074.24,3.95,342.22,12.42,10520.331902718168
15.17,-0.5,34140.17,0.1,83.93,120817.06,5.98,317.11,9.34,7964.209624258405
17.36,7.64,53906.96,0.08,66.49,132890.58,6.49,299.0,10.9,7654.987327188939
13.6,3.64,56222.07,0.12,68.87,108241.25,5.84,226.97,11.79,7958.915441176471
17.09,-2.96,54576.87,0.09,74.75,104985.7,5.81,297.15,11.23,6143.107080163838
14.38,-1.53,43827.47,0.09,81.28,143383.85,5.47,362.17,13.68,9971.06050069541
16.31,-1.46,56515.22,0.12,70.68,169785.94,6.68,311.77,11.08,10409.928877988965
15.43,-6.85,57906.26,0.06,83.56,165184.73,5.64,384.38,8.3,10705.426441996113
15.06,5.87,44301.67,0.17,59.73,145440.98,6.42,319.44,10.05,9657.435590969455
17.41,2.8,47125.52,0.13,76.71,151126.26,5.96,232.99,9.88,8680.428489373924
13.94,2.83,56820.52,0.03,82.68,179281.22,4.49,247.2,9.8,12860.919655667145
12.75,2.78,65379.32,0.11,69.39,134292.72,5.9,304.87,14.01,10532.762352941176
15.2,-0.32,57153.81,0.12,62.65,154487.94,5.18,309.67,11.64,10163.680263157896
14.56,-1.74,50005.28,0.16,76.34,120192.31,7.55,317.15,10.61,8254.966346153846
14.48,-0.4,41523.66,0.09,67.74,65009.09,5.15,277.87,14.29,4489.5780386740325
17.91,-0.49,51847.41,0.1,73.07,94409.45,4.79,251.76,15.06,5271.326074818537
10.85,-1.83,55820.27,0.15,53.69,151380.19,5.33,199.25,15.14,13952.091244239631
11.39,5.44,54826.88,0.08,81.44,131650.99,6.28,260.46,9.89,11558.471466198418
16.26,-3.11,48232.26,0.1,76.46,170927.61,3.78,285.48,10.42,10512.153136531364
16.45,-3.76,50819.96,0.11,41.62,140219.63,8.37,374.75,13.45,8523.989665653497
18.76,2.48,45444.6,0.17,48.09,126118.08,6.85,367.3,12.35,6722.712153518123
